seed,steps,bool
0,1346,1
1,1144,1
2,1139,1
3,1331,1
4,1259,1
5,1118,1
6,1196,1
7,1189,1
8,1238,1
9,1179,1
10,1132,1
11,1172,1
12,1217,1
13,1177,1
14,1109,1
15,1397,1
16,1166,1
17,1292,1
18,1084,1
19,1081,1
20,1059,1
21,1249,1
22,1143,1
23,1171,1
24,1127,1
25,1436,1
26,1120,1
27,1249,1
28,1091,1
29,1095,1
30,1240,1
31,1146,1
32,1213,1
33,1070,1
34,1216,1
35,1427,1
36,1029,1
37,1269,1
38,1118,1
39,1443,1
40,1194,1
41,1157,1
42,1053,1
43,1035,1
44,1193,1
45,1144,1
46,1156,1
47,1205,1
48,1195,1
49,1357,1
