seed,steps,bool
0,1370,1
1,1174,1
2,1402,1
3,1399,1
4,1385,1
5,1207,1
6,1414,1
7,1240,1
8,1425,1
9,1355,1
10,1273,1
11,1234,1
12,1220,1
13,1238,1
14,1133,1
15,1480,1
16,1220,1
17,1322,1
18,1251,1
19,1191,1
20,1093,1
21,1390,1
22,1156,1
23,1194,0
24,1152,1
25,1550,1
26,1340,1
27,1525,1
28,1240,1
29,1229,1
30,1331,1
31,1231,1
32,1183,1
33,1154,1
34,1313,1
35,642,1
36,1187,1
37,1390,1
38,1235,1
39,1553,1
40,1365,1
41,1198,1
42,1131,1
43,1146,1
44,1195,1
45,1198,0
46,1255,1
47,1408,1
48,1198,1
49,1389,1
