seed,steps,bool
0,1324,1
1,1324,1
2,1316,1
3,1322,1
4,1313,1
5,1316,1
6,1318,1
7,1316,1
8,1306,1
9,1316,1
10,1315,1
11,1320,1
12,1314,1
13,1320,1
14,1318,1
15,1315,1
16,1326,1
17,1317,1
18,1321,1
19,1309,1
20,1329,1
21,1317,1
22,1317,1
23,1319,1
24,1321,1
25,1322,1
26,1330,1
27,1325,1
28,1325,1
29,1311,1
30,1314,1
31,1327,1
32,1323,1
33,1313,1
34,1313,1
35,1318,1
36,1309,1
37,1319,1
38,1309,1
39,1321,1
40,1320,1
41,1314,1
42,1309,1
43,1321,1
44,1319,1
45,1318,1
46,1333,1
47,1336,1
48,1311,1
49,1330,1
